Indicator,Year,Group,Component,Quantity,Indicator value
Expected survival of listed threatened species,2017,Tetrapods,potential_loss,Percent,0.308293650793651
Expected survival of listed threatened species,2017,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2017,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2017,Vascular plants,exp_survival,Count,347.27
Expected survival of listed threatened species,2017,Vascular plants,exp_survival,Percent,0.498951149425287
Expected survival of listed threatened species,2017,Vascular plants,potential_loss,Count,320.02
Expected survival of listed threatened species,2017,Vascular plants,potential_loss,Percent,0.459798850574713
Expected survival of listed threatened species,2020,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2020,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2020,Other,exp_survival,Count,13.21
Expected survival of listed threatened species,2020,Other,exp_survival,Percent,0.338717948717949
Expected survival of listed threatened species,2020,Other,potential_loss,Count,24.8
Expected survival of listed threatened species,2020,Other,potential_loss,Percent,0.635897435897436
Expected survival of listed threatened species,2020,Tetrapods,already_lost,Count,37.62
Expected survival of listed threatened species,2020,Tetrapods,already_lost,Percent,0.119428571428571
Expected survival of listed threatened species,2020,Tetrapods,exp_survival,Count,178.7795
Expected survival of listed threatened species,2020,Tetrapods,exp_survival,Percent,0.567553968253968
Expected survival of listed threatened species,2020,Tetrapods,potential_loss,Count,98.6005
Expected survival of listed threatened species,2020,Tetrapods,potential_loss,Percent,0.31301746031746
Expected survival of listed threatened species,2020,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2020,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2020,Vascular plants,exp_survival,Count,338.77
Expected survival of listed threatened species,2020,Vascular plants,exp_survival,Percent,0.486738505747126
Expected survival of listed threatened species,2020,Vascular plants,potential_loss,Count,328.52
Expected survival of listed threatened species,2020,Vascular plants,potential_loss,Percent,0.472011494252874
Expected survival of listed threatened species,2022,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2022,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2022,Other,exp_survival,Count,12.96
Expected survival of listed threatened species,2022,Other,exp_survival,Percent,0.332307692307692
Expected survival of listed threatened species,2022,Other,potential_loss,Count,25.05
Expected survival of listed threatened species,2022,Other,potential_loss,Percent,0.642307692307692
Expected survival of listed threatened species,2022,Tetrapods,already_lost,Count,37.62
Expected survival of listed threatened species,2022,Tetrapods,already_lost,Percent,0.119428571428571
Expected survival of listed threatened species,2022,Tetrapods,exp_survival,Count,177.0295
Expected survival of listed threatened species,2022,Tetrapods,exp_survival,Percent,0.561998412698413
Expected survival of listed threatened species,2022,Tetrapods,potential_loss,Count,100.3505
Expected survival of listed threatened species,2022,Tetrapods,potential_loss,Percent,0.318573015873016
Expected survival of listed threatened species,2022,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2022,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2022,Vascular plants,exp_survival,Count,337.67
Expected survival of listed threatened species,2022,Vascular plants,exp_survival,Percent,0.485158045977012
Expected survival of listed threatened species,2022,Vascular plants,potential_loss,Count,329.62
Expected survival of listed threatened species,2022,Vascular plants,potential_loss,Percent,0.473591954022989
Phylogenetic diversity,2017,Tetrapods,already_lost,Length,317.543186103839
Phylogenetic diversity,2017,Tetrapods,already_lost,Percent,0.0137831945932311
Phylogenetic diversity,2017,Tetrapods,exp_survival,Length,21086.237791834
Phylogenetic diversity,2017,Tetrapods,exp_survival,Percent,0.915263597024414
Phylogenetic diversity,2017,Tetrapods,potential_loss,Length,1634.65063934361
Phylogenetic diversity,2017,Tetrapods,potential_loss,Percent,0.0709532083823549
Phylogenetic diversity,2020,Gymnosperms,already_lost,Length,0
Phylogenetic diversity,2020,Gymnosperms,already_lost,Percent,0
Phylogenetic diversity,2020,Gymnosperms,exp_survival,Length,1052.03645341318
Phylogenetic diversity,2020,Gymnosperms,exp_survival,Percent,0.894063991576742
Phylogenetic diversity,2020,Gymnosperms,potential_loss,Length,124.653876725095
Phylogenetic diversity,2020,Gymnosperms,potential_loss,Percent,0.105936008423258
Phylogenetic diversity,2020,Proteaceae,already_lost,Length,7.5137293903898
Phylogenetic diversity,2020,Proteaceae,already_lost,Percent,0.00526812144614162
Phylogenetic diversity,2020,Proteaceae,exp_survival,Length,1254.4588739593
Phylogenetic diversity,2020,Proteaceae,exp_survival,Percent,0.8795421492901
Phylogenetic diversity,2020,Proteaceae,potential_loss,Length,164.290907696147
Phylogenetic diversity,2020,Proteaceae,potential_loss,Percent,0.115189729263758
Phylogenetic diversity,2020,Tetrapods,already_lost,Length,328.533161169262
Phylogenetic diversity,2020,Tetrapods,already_lost,Percent,0.0142602225111029
Phylogenetic diversity,2020,Tetrapods,exp_survival,Length,21062.8992025003
Phylogenetic diversity,2020,Tetrapods,exp_survival,Percent,0.914250568458866
Phylogenetic diversity,2020,Tetrapods,potential_loss,Length,1646.99925361192
Phylogenetic diversity,2020,Tetrapods,potential_loss,Percent,0.0714892090300313
